#SampleID	SampleName	Project	FishType	LoperamidePathogen	SampleRep	Timepoint	TimepointDay	TrialNumber	DateCollected	LoperamideTimepoint	Condition
#q2:types	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical
1-Conv-1-1	Conv_1_1	Loperamide	Conv		1	1	24h	38	20210928	ControlWater.24h	
2-Conv-1-2	Conv_1_2	Loperamide	Conv		2	1	24h	38	20210928	ControlWater.24h	
3-Conv-1-3	Conv_1_3	Loperamide	Conv		3	1	24h	38	20210928	ControlWater.24h	
4-Conv-1-4	Conv_1_4	Loperamide	Conv		4	1	24h	38	20210928	ControlWater.24h	
5-Conv-1-5	Conv_1_5	Loperamide	Conv		5	1	24h	38	20210928	ControlWater.24h	
6-DMSO-1-1	DMSO_1_1	Loperamide	Conv	DMSO 1:100	1	1	24h	38	20210928	DMSO.24h	
7-DMSO-1-2	DMSO_1_2	Loperamide	Conv	DMSO 1:100	2	1	24h	38	20210928	DMSO.24h	
8-DMSO-1-3	DMSO_1_3	Loperamide	Conv	DMSO 1:100	3	1	24h	38	20210928	DMSO.24h	
9-DMSO-1-4	DMSO_1_4	Loperamide	Conv	DMSO 1:100	4	1	24h	38	20210928	DMSO.24h	
10-DMSO-1-5	DMSO_1_5	Loperamide	Conv	DMSO 1:100	5	1	24h	38	20210928	DMSO.24h	
11-LOP-1-1	LOP_1_1	Loperamide	Conv	Loperamide 10mg/L	1	1	24h	38	20210928	Loperamide.24h	
12-LOP-1-2	LOP_1_2	Loperamide	Conv	Loperamide 10mg/L	2	1	24h	38	20210928	Loperamide.24h	
13-LOP-1-3	LOP_1_3	Loperamide	Conv	Loperamide 10mg/L	3	1	24h	38	20210928	Loperamide.24h	
14-LOP-1-4	LOP_1_4	Loperamide	Conv	Loperamide 10mg/L	4	1	24h	38	20210928	Loperamide.24h	
15-LOP-1-5	LOP_1_5	Loperamide	Conv	Loperamide 10mg/L	5	1	24h	38	20210928	Loperamide.24h	
16-Conv-2-1	Conv_2_1	Loperamide	Conv		1	2	48h	38	20210929	ControlWater.48h	
17-Conv-2-2	Conv_2_2	Loperamide	Conv		2	2	48h	38	20210929	ControlWater.48h	
18-Conv-2-3	Conv_2_3	Loperamide	Conv		3	2	48h	38	20210929	ControlWater.48h	
19-Conv-2-4	Conv_2_4	Loperamide	Conv		4	2	48h	38	20210929	ControlWater.48h	
20-Conv-2-5	Conv_2_5	Loperamide	Conv		5	2	48h	38	20210929	ControlWater.48h	
21-DMSO-2-1	DMSO_2_1	Loperamide	Conv	DMSO 1:100	1	2	48h	38	20210929	DMSO.48h	
22-DMSO-2-2	DMSO_2_2	Loperamide	Conv	DMSO 1:100	2	2	48h	38	20210929	DMSO.48h	
23-DMSO-2-3	DMSO_2_3	Loperamide	Conv	DMSO 1:100	3	2	48h	38	20210929	DMSO.48h	
24-DMSO-2-4	DMSO_2_4	Loperamide	Conv	DMSO 1:100	4	2	48h	38	20210929	DMSO.48h	
25-DMSO-2-5	DMSO_2_5	Loperamide	Conv	DMSO 1:100	5	2	48h	38	20210929	DMSO.48h	
26-LOP-2-1	LOP_2_1	Loperamide	Conv	Loperamide 10mg/L	1	2	48h	38	20210929	Loperamide.48h	
27-LOP-2-2	LOP_2_2	Loperamide	Conv	Loperamide 10mg/L	2	2	48h	38	20210929	Loperamide.48h	
28-LOP-2-3	LOP_2_3	Loperamide	Conv	Loperamide 10mg/L	3	2	48h	38	20210929	Loperamide.48h	
29-LOP-2-4	LOP_2_4	Loperamide	Conv	Loperamide 10mg/L	4	2	48h	38	20210929	Loperamide.48h	
30-LOP-2-5	LOP_2_5	Loperamide	Conv	Loperamide 10mg/L	5	2	48h	38	20210929	Loperamide.48h	
31-Conv-3-1	Conv_3_1	Loperamide	Conv		1	3	6d	38	20211004	ControlWater.6d	
32-Conv-3-2	Conv_3_2	Loperamide	Conv		2	3	6d	38	20211004	ControlWater.6d	
33-Conv-3-3	Conv_3_3	Loperamide	Conv		3	3	6d	38	20211004	ControlWater.6d	
34-Conv-3-4	Conv_3_4	Loperamide	Conv		4	3	6d	38	20211004	ControlWater.6d	
35-Conv-3-5	Conv_3_5	Loperamide	Conv		5	3	6d	38	20211004	ControlWater.6d	
36-DMSO-3-1	DMSO_3_1	Loperamide	Conv	DMSO 1:100	1	3	6d	38	20211004	DMSO.6d	
37-DMSO-3-2	DMSO_3_2	Loperamide	Conv	DMSO 1:100	2	3	6d	38	20211004	DMSO.6d	
38-DMSO-3-3	DMSO_3_3	Loperamide	Conv	DMSO 1:100	3	3	6d	38	20211004	DMSO.6d	
39-DMSO-3-4	DMSO_3_4	Loperamide	Conv	DMSO 1:100	4	3	6d	38	20211004	DMSO.6d	
40-DMSO-3-5	DMSO_3_5	Loperamide	Conv	DMSO 1:100	5	3	6d	38	20211004	DMSO.6d	
41-LOP-3-1	LOP_3_1	Loperamide	Conv	Loperamide 10mg/L	1	3	6d	38	20211004	Loperamide.6d	
42-LOP-3-2	LOP_3_2	Loperamide	Conv	Loperamide 10mg/L	2	3	6d	38	20211004	Loperamide.6d	
43-LOP-3-3	LOP_3_3	Loperamide	Conv	Loperamide 10mg/L	3	3	6d	38	20211004	Loperamide.6d	
44-LOP-3-4	LOP_3_4	Loperamide	Conv	Loperamide 10mg/L	4	3	6d	38	20211004	Loperamide.6d	
45-LOP-3-5	LOP_3_5	Loperamide	Conv	Loperamide 10mg/L	5	3	6d	38	20211004	Loperamide.6d	
